show_id,type,title,director_id,date_added,release_year,rating,duration,description,year_added,month_added
s8621,movie,tree man,4428,2016-11-01,2015,tv-pg,82 min,"entrepreneurs from vermont and quebec sell christmas trees on the streets of new york, becoming a cherished part of neighborhood holiday traditions.",2016,11
s8622,movie,tremors,4429,2020-01-01,1990,pg-13,96 min,"after a seismologist gets unusual readings on her equipment, handymen discover 30-foot-long carnivorous worms that suck their prey underground.",2020,1
s8623,movie,tremors 2: aftershocks,4430,2020-01-01,1995,pg-13,100 min,a rag-tag team of survivalists and scientists battle supersucking desert creatures that are worming their way through the oil fields of mexico.,2020,1
s8624,movie,tremors 3: back to perfection,4431,2020-01-01,2001,pg,104 min,"when a theme park's simulated giant worm attacks turn real, burt gummer and two young entrepreneurs team up to battle the flesh-eating graboids.",2020,1
s8625,movie,tremors 4: the legend begins,4430,2020-01-01,2004,pg-13,101 min,"residents of a abandoned mining town attempt to get to the bottom of a series of recent, mysterious deaths before their own fates are sealed.",2020,1
s8626,movie,tremors 5: bloodline,455,2020-01-01,2015,pg-13,99 min,"when he is hired to capture a deadly creature terrorizing south africa, survivalist burt gummer brings along a new tech-savvy partner.",2020,1
s8627,movie,tremors 6: a cold day in hell,455,2018-05-01,2018,pg-13,98 min,"the subterranean, worm-like creatures are back, and graboid-hunter burt gummer suspects they've been weaponized.",2018,5
s8628,movie,trespass against us,4432,2019-02-22,2016,r,100 min,"a man from a criminal family yearns to break away and find a better life, but his father's staunch opposition puts his dreams of freedom in jeopardy.",2019,2
s8629,movie,"trikal (past, present, future)",979,2019-12-31,1985,tv-14,134 min,"a goan native returns to his now-derelict, palatial childhood home, recalling his family’s interpersonal drama during the end of portuguese rule.",2019,12
s8630,movie,trimurti,1526,2018-03-01,1995,tv-pg,173 min,"after being framed, a policewoman languishing in prison hopes that her three sons will deliver justice and restore her honor.",2018,3
s8631,movie,trip to bhangarh: asia's most haunted place,4433,2017-11-01,2014,tv-ma,113 min,"to amuse themselves, six college friends decide to pay a visit to a fortress believed by some to be the most haunted place in asia.",2017,11
s8632,movie,trixie mattel: moving parts,4434,2020-03-27,2019,tv-ma,91 min,drag queen trixie mattel deals with the bittersweet reality of success in this documentary that explores her rise to fame and subsequent music career.,2020,3
s8633,movie,trophy,4435,2018-02-13,2017,tv-ma,110 min,this documentary explores the tensions between the lucrative big-game hunting business and wildlife conservation from a variety of perspectives.,2018,2
s8634,tv show,trotsky,2,2018-12-10,2017,tv-ma,1 Season,the complex historical figure of leon trotsky comes to life in this epic biography that depicts the tumultuous life of the russian revolutionary.,2018,12
s8635,movie,troy: the odyssey,4436,2018-03-12,2017,tv-ma,90 min,"starting with the trojan horse attack, this modest re-telling of homer's epic covers well-known highlights of odysseus's long journey home.",2018,3
s8636,movie,true grit,4437,2020-01-01,1969,g,128 min,teenage tomboy mattie ross enlists the help of crusty lawman rooster cogburn to track down the hired hand who murdered her father.,2020,1
s8637,movie,true to the game,4438,2018-03-01,2017,r,108 min,"when a drug kingpin looking to go legit falls for a philadelphia college student, it doesn't take long for his dangerous world to bleed into her life.",2018,3
s8638,movie,trumbo,325,2020-05-19,2015,r,124 min,"when he is blacklisted by hollywood for his leftist political views, screenwriter dalton trumbo struggles to find work in secret as a ghost writer.",2020,5
s8639,movie,tucker and dale vs. evil,2680,2019-03-29,2010,r,89 min,"expecting to relax at their ""vacation"" cabin, two backwoods boys see their trip turn into a nightmare when they're accused of being psychotic killers.",2019,3
s8640,movie,tukaram,3055,2018-02-15,2012,tv-pg,162 min,a child whose innocence and devotion set him apart from the other children of his village grows up to be one of the foremost saints of india.,2018,2
s8641,movie,tunisian victory,4439,2017-03-31,1944,tv-14,76 min,"british and american troops join forces to liberate a nazi stranglehold in north africa, sharing battles, hard work and a peaceful christmas dinner.",2017,3
s8642,movie,turbo,4440,2019-09-12,2013,pg,96 min,a speed-obsessed snail who dreams of being the world's greatest race car driver gets his chance when an accident imbues him with high-octane speed.,2019,9
s8643,movie,tusk,568,2018-07-24,2014,r,102 min,"when a wise-guy podcaster interviews a disabled seafarer, he decides to embark on a transformational quest to track down a dangerous walrus-monster.",2018,7
s8644,movie,twice,4441,2017-12-31,2010,tv-14,53 min,"this documentary reenacts the experiences of late activist tsutomu yamaguchi, a survivor of both atomic bombings on japan in 1945.",2017,12
s8645,tv show,twin peaks,2,2017-07-01,1990,tv-14,2 Seasons,"""who killed laura palmer?"" is the question on everyone's lips in a secretive small town, but as an eccentric fbi agent learns, the answer isn't easy.",2017,7
